State,countyFIPS,County Name,population,2/5/2020,2/19/2020,3/4/2020,3/18/2020,4/1/2020,4/15/2020,4/29/2020,5/13/2020,5/27/2020,6/10/2020,6/24/2020,7/8/2020,7/22/2020,8/5/2020,8/19/2020,9/2/2020,9/16/2020,9/30/2020,10/14/2020,10/28/2020
TX,48145,Falls County,17297,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,7.0,12.0,19.0,34.0,36.0,35.0,20.0,32.0,87.0,332.0,55.0
TX,48147,Fannin County,35514,0.0,0.0,0.0,0.0,1.0,4.0,13.0,6.0,13.0,13.0,32.0,40.0,59.0,56.0,118.0,251.0,50.0,35.0,30.0,72.0
TX,48149,Fayette County,25346,0.0,0.0,0.0,0.0,4.0,8.0,2.0,12.0,6.0,7.0,36.0,59.0,119.0,48.0,31.0,43.0,63.0,49.0,17.0,20.0
TX,48151,Fisher County,3830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,12.0,3.0,16.0,17.0,4.0,3.0,17.0,23.0
TX,48153,Floyd County,5712,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,9.0,5.0,28.0,14.0,23.0,10.0,3.0,2.0,10.0,6.0,11.0
TX,48155,Foard County,1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,6.0,3.0
TX,48157,Fort Bend County,811688,0.0,0.0,0.0,9.0,185.0,433.0,346.0,431.0,328.0,493.0,951.0,1170.0,1784.0,1737.0,5167.0,1949.0,516.0,888.0,579.0,590.0
TX,48159,Franklin County,10725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,9.0,13.0,18.0,17.0,19.0,10.0,17.0,10.0,9.0,31.0,55.0
TX,48161,Freestone County,19717,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,8.0,39.0,49.0,34.0,49.0,195.0,11.0,18.0,16.0,25.0
TX,48163,Frio County,20306,0.0,0.0,0.0,0.0,0.0,1.0,6.0,27.0,3.0,17.0,103.0,82.0,143.0,113.0,109.0,37.0,29.0,309.0,22.0,16.0
TX,48165,Gaines County,21492,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,5.0,22.0,32.0,77.0,64.0,49.0,42.0,43.0,89.0,94.0
TX,48167,Galveston County,342139,0.0,0.0,0.0,2.0,104.0,286.0,162.0,134.0,75.0,288.0,989.0,2769.0,2670.0,1627.0,1029.0,478.0,724.0,333.0,309.0,511.0
TX,48169,Garza County,6229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,11.0,64.0,17.0,2.0,1.0,1.0,2.0,7.0,11.0
TX,48171,Gillespie County,26988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,24.0,24.0,80.0,41.0,17.0,11.0,9.0,103.0,26.0,23.0
